ptp4l[488527.545]: port 1 (eth0): INITIALIZING to SLAVE on INIT_COMPLETE
ptp4l[488527.546]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[488527.547]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[488816.343]: master offset     908181 s0 freq +920514 path delay    191390
ptp4l[488818.602]: master offset     219271 s0 freq -666550 path delay    214799
ptp4l[488818.603]: master offset     -91257 s0 freq -246067 path delay    214799
ptp4l[488819.347]: master offset     -46048 s0 freq  +42081 path delay    200894
ptp4l[488820.582]: master offset     -36266 s0 freq   +9758 path delay    200894
ptp4l[488821.353]: master offset      55203 s0 freq  +71632 path delay    181259
ptp4l[488822.356]: master offset     -83153 s0 freq -100564 path delay    218712
ptp4l[488823.360]: master offset     -98245 s0 freq  -15036 path delay    218712
ptp4l[488824.361]: master offset     -60233 s0 freq    +558 path delay    181259
ptp4l[488825.363]: master offset     -46816 s0 freq  +13382 path delay    181259
ptp4l[488826.366]: master offset     -52827 s0 freq  -13389 path delay    173852
ptp4l[488827.366]: master offset     -61771 s0 freq  -27092 path delay    155684
ptp4l[488828.367]: master offset     -57019 s0 freq   +4750 path delay    155684
ptp4l[488829.370]: master offset      18658 s0 freq  +73643 path delay    153797
ptp4l[488830.826]: master offset     327230 s0 freq +211875 path delay    153797
ptp4l[488831.373]: master offset     -71623 s0 freq -727627 path delay    153797
ptp4l[488832.378]: master offset      70367 s0 freq +136376 path delay    148766
ptp4l[488833.756]: master offset     -54573 s0 freq  -90655 path delay    148766
ptp4l[488834.383]: master offset     101182 s0 freq +242512 path delay    144783
ptp4l[488835.381]: master offset     -64845 s0 freq -166254 path delay    144783
ptp4l[488836.385]: master offset      31026 s0 freq  +95567 path delay    144783
ptp4l[488837.388]: master offset      29557 s0 freq   +2503 path delay    148766
ptp4l[488838.391]: master offset     -23828 s0 freq  -48213 path delay    153797
ptp4l[488839.396]: master offset     -26553 s0 freq   -4173 path delay    152330
ptp4l[488840.397]: master offset     318007 s0 freq +360784 path delay    169170
ptp4l[488841.401]: master offset      77213 s0 freq -227801 path delay    181328
ptp4l[488842.831]: master offset    -107259 s0 freq -129007 path delay    181328
ptp4l[488844.090]: master offset      55273 s0 freq +115798 path delay    164139
ptp4l[488844.405]: master offset     -24595 s0 freq -219507 path delay    174131
ptp4l[488845.406]: master offset     -63447 s0 freq  -38781 path delay    174131
ptp4l[488846.408]: master offset     -26344 s0 freq  +23160 path delay    160226
ptp4l[488847.411]: master offset      47725 s0 freq  +73820 path delay    160226
ptp4l[488848.413]: master offset     -17679 s0 freq  -65332 path delay    160226
ptp4l[488849.584]: master offset     -61561 s0 freq  -37472 path delay    160226
ptp4l[488850.419]: master offset      26203 s0 freq +105065 path delay    160226
ptp4l[488851.422]: master offset     -53454 s0 freq  -79558 path delay    160226
ptp4l[488852.422]: master offset     111523 s0 freq +161825 path delay    157361
ptp4l[488853.424]: master offset     226678 s0 freq +115054 path delay    157361
ptp4l[488855.144]: master offset     107680 s0 freq  -56366 path delay    179372
ptp4l[488856.248]: master offset    -111102 s0 freq -176321 path delay    203339
ptp4l[488856.428]: master offset     -50870 s0 freq  +79256 path delay    157361
ptp4l[488858.258]: master offset     159040 s0 freq +114695 path delay    157361
ptp4l[488858.432]: master offset     -65754 s0 freq -1153348 path delay    183145
ptp4l[488859.435]: master offset     -19074 s0 freq  +46478 path delay    183145
ptp4l[488861.258]: master offset     -38081 s0 freq  -10423 path delay    183145
ptp4l[488861.438]: master offset     105094 s0 freq +654453 path delay    157361
ptp4l[488862.670]: master offset     -16490 s0 freq  -98702 path delay    157361
ptp4l[488863.444]: master offset     254770 s0 freq +346086 path delay    153867
ptp4l[488864.447]: master offset     704423 s0 freq +476864 path delay    182726
ptp4l[488865.450]: master offset     188457 s0 freq -514485 path delay    182726
ptp4l[488866.533]: master offset    -105862 s0 freq -294470 path delay    182726
ptp4l[488867.452]: master offset        418 s0 freq  +68882 path delay    145482
ptp4l[488868.452]: master offset     -65054 s0 freq  -61772 path delay    149185
ptp4l[488869.458]: master offset     -25923 s0 freq  +38900 path delay    149185
ptp4l[488870.464]: master offset      25854 s0 freq  +47798 path delay    145482
ptp4l[488871.461]: master offset      67711 s0 freq  +45632 path delay    149185
ptp4l[488872.465]: master offset      23828 s0 freq  -43716 path delay    149185
ptp4l[488873.470]: master offset     214311 s0 freq +206099 path delay    165815
ptp4l[488874.469]: master offset     -55129 s0 freq -269607 path delay    165815
ptp4l[488875.472]: master offset     -57159 s0 freq   -3070 path delay    164768
ptp4l[488876.475]: master offset     -42204 s0 freq   +3345 path delay    153168
ptp4l[488877.475]: master offset      35499 s0 freq  +77691 path delay    153168
ptp4l[488878.478]: master offset     -71202 s0 freq  -85580 path delay    174061
ptp4l[488879.481]: master offset     315911 s0 freq +385795 path delay    174061
ptp4l[488880.484]: master offset     -62118 s0 freq -371500 path delay    179511
ptp4l[488882.357]: master offset     -79499 s0 freq     -21 path delay    179511
ptp4l[488882.486]: master offset     -54076 s0 freq +194790 path delay    179511
ptp4l[488883.895]: master offset      28058 s0 freq  +58325 path delay    179511
ptp4l[488884.490]: master offset     -84982 s0 freq -143088 path delay    207344
ptp4l[488885.493]: master offset     -47825 s0 freq  +37043 path delay    207344
ptp4l[488886.494]: master offset     -38049 s0 freq   +9769 path delay    207344
ptp4l[488887.496]: master offset     -24568 s0 freq  +17558 path delay    211464
ptp4l[488888.497]: master offset    -129052 s0 freq  -99421 path delay    216493
ptp4l[488889.499]: master offset    -122906 s0 freq   +6130 path delay    216493
ptp4l[488890.501]: master offset     -99454 s0 freq  +18128 path delay    211200
ptp4l[488891.505]: master offset     -97568 s0 freq   -7241 path delay    202051
ptp4l[488892.505]: master offset    -109231 s0 freq   -2513 path delay    211200
ptp4l[488893.507]: master offset     -98965 s0 freq   +1114 path delay    202051
ptp4l[488894.507]: master offset     -51752 s0 freq  +47206 path delay    202051
ptp4l[488896.166]: master offset       5867 s0 freq  +66570 path delay    211200
ptp4l[488896.511]: master offset     -94982 s0 freq -100706 path delay    211200
ptp4l[488897.513]: master offset      33803 s0 freq +128704 path delay    211200
ptp4l[488898.519]: master offset       1399 s0 freq  -32594 path delay    210920
ptp4l[488899.518]: master offset       2237 s0 freq   +5851 path delay    215949
ptp4l[488900.519]: master offset      -8870 s0 freq  -17857 path delay    209175
